# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 05-12-2010 12:45:41                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     41508,         0,O'CONNOR TM                   ,05-12-2010 11:00:00,      .943,L,Below Minor,Steady        ,           ,Weir River Crossing                     ,X,  150.6453,  -27.7267                                                                                                                                                                                                                   
     41514,         0,LEYBURN TM                    ,05-12-2010 11:00:00,      .661,L,Below Minor,Steady        ,        .67,Donovan Rd Crossing                     ,X,  151.5833,  -28.0333                                                                                                                                                                                                                   
     41515,         0,FELTON TM                     ,05-12-2010 11:00:00,     1.377,L,Below Minor,Rising        ,           ,                                        , ,  151.6833,    -27.85                                                                                                                                                                                                                   
     41516,         0,ALLORA TM                     ,05-12-2010 11:30:00,     2.811,L,Below Minor,Falling       ,           ,                                        , ,  152.0167,  -28.0333                                                                                                                                                                                                                   
     41518,         0,AIDES BRIDGE TM               ,05-12-2010 11:00:00,     2.528,L,Below Minor,Rising        ,        6.6,Aides Bridge                            ,B,  151.8617,  -27.9267                                                                                                                                                                                                                   
     41519,         0,BOOBA SANDS TM                ,05-12-2010 08:00:00,      1.08,L,Below Minor,Steady        ,           ,                                        , ,   150.845,  -28.5767                                                                                                                                                                                                                   
     41520,         0,INGLEWOOD WEIR TM             ,05-12-2010 11:20:00,     1.217,L,Below Minor,Falling       ,           ,                                        , ,    151.07,  -28.4167                                                                                                                                                                                                                   
     41530,         0,YANGAN ALERT                  ,05-12-2010 12:39:24,      2.35,L,Below Minor,Rising        ,        6.1,Yangan Bridge (Yangan - Killarney Road) ,B,  152.2156,  -28.2006                                                                                                                                                                                                                   
     41531,         0,GLENGALLAN CREEK ALERT        ,05-12-2010 12:31:15,      3.35,L,Minor      ,Falling       ,        4.8,New England Highway Bridge              ,B,  152.0642,  -28.1167                                                                                                                                                                                                                   
     41532,         0,CONNOLLY DAM ALERT            ,05-12-2010 10:13:03,       .08,L,Below Minor,Steady        ,          0,Spillway                                ,S,  151.9967,  -28.3558                                                                                                                                                                                                                   
     41533,         0,EMU VALE ALERT                ,05-12-2010 12:42:17,      4.25,L,Below Minor,Rising        ,        7.1,Emu Creek Bridge                        ,B,  152.2269,  -28.2292                                                                                                                                                                                                                   
     41534,         0,WARWICK ALERT                 ,05-12-2010 12:40:00,      3.49,L,Below Minor,Rising        ,          7,McCahon Bridge                          ,B,  152.0275,  -28.2111                                                                                                                                                                                                                   
     41535,         0,ELBOW VALLEY ALERT            ,05-12-2010 12:38:55,      1.88,L,Below Minor,Rising        ,           ,                                        , ,    152.14,  -28.3731                                                                                                                                                                                                                   
     41536,         0,MURRAYS BRIDGE ALERT          ,05-12-2010 12:31:40,      4.85,L,Minor      ,Falling       ,           ,                                        , ,  152.1053,  -28.2883                                                                                                                                                                                                                   
     41537,         0,KILLARNEY ALERT               ,05-12-2010 11:22:02,       .05,L,Below Minor,Falling       ,        6.7,Ellen Backhouse Bridge                  ,B,  152.2944,  -28.3394                                                                                                                                                                                                                   
     41548,         0,TEXAS TM                      ,05-12-2010 11:39:00,      1.86,L,Below Minor,Steady        ,        7.5,Dumaresq River Bridge                   ,R,  151.1611,  -28.8675                                                                                                                                                                                                                   
     42053,         0,FLINTON                       ,04-12-2010 15:00:00,      1.85,L,Below Minor,Falling       ,        1.2,Moonie River Causeway                   ,C,  149.5586,  -27.8967                                                                                                                                                                                                                   
     42097,         0,HARTMANN BRIDGE TM            ,05-12-2010 08:00:00,     1.157,L,Below Minor,Steady        ,        5.7,Hartmann Bridge (Toobeah-Moonie Hwy Rd) ,B,  149.8811,  -28.3706                                                                                                                                                                                                                   
     42098,         0,COTSWOLD TM                   ,05-12-2010 11:00:00,     4.894,L,Below Minor,Steady        ,       4.29,                                        ,W,  149.7833,  -27.0833                                                                                                                                                                                                                   
     42103,         0,MT DRIVEN                     ,05-12-2010 12:00:00,       2.7,L,Below Minor,Steady        ,        5.9,The Claude Bowhay Bridge                ,B,  149.0764,  -27.9797                                                                                                                                                                                                                   
     42104,         0,SURREY TM                     ,05-12-2010 08:00:00,     1.848,L,Below Minor,Steady        ,        4.8,Weir River Bridge (Bungunya-Westmar Rd) ,B,  149.6747,  -28.3839                                                                                                                                                                                                                   
     42105,         0,NINDIGULLY TM                 ,05-12-2010 11:30:00,       2.8,L,Minor      ,Rising        ,           ,                                        , ,  148.8333,  -28.4167                                                                                                                                                                                                                   
     42106,         0,FENTON TM                     ,05-12-2010 11:40:00,     2.648,L,Below Minor,Rising        ,           ,                                        , ,    148.74,  -28.9417                                                                                                                                                                                                                   
     42107,         0,GILWEIR TM                    ,05-12-2010 11:10:00,     8.429,L,Below Minor,Steady        ,       7.63,                                        ,W,  150.1767,  -26.7083                                                                                                                                                                                                                   
     42108,         0,TALWOOD TM                    ,05-12-2010 08:00:00,     2.002,L,Below Minor,Falling       ,        4.4,Weir River Bridge                       ,B,  149.4933,  -28.5067                                                                                                                                                                                                                   
     43052,         0,WARKON                        ,05-12-2010 09:00:00,      4.16,L,Below Minor,Rising Slowly ,        3.2,Balonne River Bridge                    ,B,  149.4969,  -27.0006                                                                                                                                                                                                                   
     43053,         0,ST GEORGE                     ,05-12-2010 09:00:00,      4.11,L,Minor      ,Rising        ,       10.7,Andrew Nixon Bridge                     ,B,  148.5633,  -28.0533                                                                                                                                                                                                                   
     43063,         0,SURAT                         ,05-12-2010 06:00:00,       6.1,L,Minor      ,Rising        ,         11,Balonne River Bridge                    ,B,  149.0728,  -27.1519                                                                                                                                                                                                                   
     43064,         0,MITCHELL                      ,05-12-2010 09:00:00,       2.9,L,Minor      ,Falling       ,       7.96,Warrego Highway Bridge                  ,B,  147.9783,  -26.4872                                                                                                                                                                                                                   
     43074,         0,ROMA                          ,05-12-2010 10:30:00,       6.4,L,Minor      ,Steady        ,        6.3,F.H.(Joe) Orr Bridge                    ,B,  148.7936,  -26.5725                                                                                                                                                                                                                   
     43077,         0,GARRABARRA                    ,05-12-2010 12:00:00,      5.25,L,Minor      ,Rising        ,           ,                                        , ,  149.0136,  -26.9472                                                                                                                                                                                                                   
     43080,         0,KAROOLA PARK                  ,05-12-2010 09:00:00,      5.45,L,Minor      ,Rising Slowly ,          3,Maranoa Road Bridge                     ,B,  148.7411,  -27.2275                                                                                                                                                                                                                   
     43099,         0,SPRINGFIELD                   ,05-12-2010 12:00:00,       8.2,L,Major      ,Steady        ,         .9,Springfield Crossing                    ,C,  148.0244,    -26.82                                                                                                                                                                                                                   
     43100,         0,OLD CASHMERE TM               ,05-12-2010 11:20:00,     4.473,L,Below Minor,Rising        ,           ,                                        , ,  148.4667,  -27.7333                                                                                                                                                                                                                   
     43101,         0,WERIBONE TM                   ,05-12-2010 11:40:00,     7.711,L,Minor      ,Rising        ,           ,                                        , ,  148.8267,  -27.3117                                                                                                                                                                                                                   
     43102,         0,MITCHELL TM                   ,05-12-2010 11:40:00,     3.392,L,Minor      ,Falling       ,          1,Maranoa River Causeway                  ,C,  147.9792,    -26.49                                                                                                                                                                                                                   
     43103,         0,BEARDMORE DAM TM              ,05-12-2010 12:00:00,     -.015,L,Unknown    ,Steady        ,          0,FSL = 207.12m AHD                       ,F,  148.6456,  -27.9089                                                                                                                                                                                                                   
     43104,         0,ST GEORGE TM                  ,05-12-2010 11:00:00,      3.99,L,Below Minor,Steady        ,           ,                                        , ,  148.5667,  -28.0667                                                                                                                                                                                                                   
     43105,         0,TABERS TM                     ,05-12-2010 11:40:00,     5.184,L,Minor      ,Falling       ,           ,                                        , ,  148.7833,  -26.4083                                                                                                                                                                                                                   
     43111,         0,CURRAWONG                     ,05-12-2010 09:00:00,      3.55,L,Minor      ,Falling Slowly,           ,                                        , ,  147.9153,  -26.3606                                                                                                                                                                                                                   
     44010,         0,BOLLON                        ,05-12-2010 09:00:00,       .47,L,Below Minor,Rising Slowly ,         .6,Wallam Creek Causeway                   ,C,  147.4803,  -28.0336                                                                                                                                                                                                                   
     44075,         0,WOODLANDS                     ,05-12-2010 09:00:00,       5.8,L,Minor      ,Rising Slowly ,           ,                                        , ,  148.0814,   -27.265                                                                                                                                                                                                                   
     44116,         0,CUNNAMULLA BRIDGE             ,05-12-2010 09:00:00,      6.95,L,Minor      ,Steady        ,       10.1,Darby Land Bridge                       ,B,  145.6775,  -28.0714                                                                                                                                                                                                                   
     44153,         0,EULO                          ,05-12-2010 06:00:00,       3.4,L,Moderate   ,Rising Slowly ,          3,Paroo River Bridge                      ,A,  145.0431,  -28.1631                                                                                                                                                                                                                   
     44154,         0,WHYENBAH                      ,05-12-2010 09:00:00,      3.55,L,Below Minor,Rising        ,        5.3,Whyenbah Bridge                         ,B,  148.3111,  -28.3875                                                                                                                                                                                                                   
     44181,         0,HUNGERFORD                    ,05-12-2010 06:00:00,       .95,L,Below Minor,Rising Slowly ,          1,Paroo River Crossing                    ,X,  144.4094,  -28.9972                                                                                                                                                                                                                   
     44190,         0,LOCHINVAR                     ,05-12-2010 09:00:00,       1.4,L,Below Minor,Falling       ,           ,                                        , ,  146.8431,  -25.4697                                                                                                                                                                                                                   
     44194,         0,NINDIGULLY                    ,05-12-2010 09:00:00,      2.15,L,Below Minor,Steady        ,        3.5,Moonie River Overflow (St George side)  ,A,  148.8217,  -28.3544                                                                                                                                                                                                                   
     44200,         0,BIDDENHAM TM                  ,05-12-2010 11:00:00,     2.177,L,Minor      ,Steady        ,           ,                                        , ,  146.4244,  -25.8042                                                                                                                                                                                                                   
     44201,         0,THE 27 MILE GARDEN TM         ,05-12-2010 11:10:00,     2.452,L,Minor      ,Steady        ,        4.3,The 27 Mile Bridge                      ,B,  146.4172,  -26.0808                                                                                                                                                                                                                   
     44206,         0,BAKERS BEND TM                ,05-12-2010 11:30:00,     2.178,L,Below Minor,Falling       ,           ,                                        , ,  146.1089,  -26.7053                                                                                                                                                                                                                   
     44209,         0,OAKPARK                       ,05-12-2010 05:30:00,       2.5,L,Minor      ,Rising Slowly ,        2.5,Charleville-Adavale Road Bridge         ,B,  146.1308,  -26.0581                                                                                                                                                                                                                   
     44210,         0,ROCKY                         ,05-12-2010 09:00:00,      4.09,L,Moderate   ,Steady        ,          1,Rocky Crossing                          ,X,   145.735,  -28.4264                                                                                                                                                                                                                   
     45003,         0,SOUTH COMONGIN                ,05-12-2010 06:00:00,         2,L,Below Minor,Falling Slowly,        1.2,South Comongin Bridge                   ,B,  144.3386,  -26.9011                                                                                                                                                                                                                   
     45044,         0,QUILPIE                       ,05-12-2010 09:00:00,      2.58,L,Below Minor,Steady        ,        4.6,John Waugh Bridge                       ,B,  144.2828,  -26.6147                                                                                                                                                                                                                   
     45045,         0,THARGOMINDAH                  ,05-12-2010 06:00:00,       4.4,L,Minor      ,Rising Slowly ,        4.1,Bulloo River bridge                     ,B,  143.8278,  -27.9947                                                                                                                                                                                                                   
     52068,         0,MUNGINDI (BARWON R)           ,05-12-2010 12:00:00,     5.656,L,Below Minor,Steady        ,           ,Barwon River Bridge                     , ,  148.9833,  -28.9683                                                                                                                                                                                                                   
     52084,         0,BOOMI WEIR                    ,05-12-2010 12:15:00,     1.029,L,Unknown    ,Steady        ,           ,                                        , ,  149.6667,  -28.6167                                                                                                                                                                                                                   
     53101,         0,BOGGABILLA (MACINTYRE R)      ,05-12-2010 12:00:00,     1.194,L,Below Minor,Steady        ,           ,                                        , ,   150.365,  -28.6083                                                                                                                                                                                                                   
     53109,         0,TERREWAH                      ,05-12-2010 12:00:00,     3.484,L,Below Minor,Steady        ,           ,                                        , ,  149.8742,  -28.6089                                                                                                                                                                                                                   
     54145,         0,ASHFORD (SEVERN R)            ,05-12-2010 12:00:00,      .772,L,Below Minor,Steady        ,           ,                                        , ,  151.1167,     -29.3                                                                                                                                                                                                                   
     54146,         0,HAYSTACK                      ,05-12-2010 13:25:00,     1.085,L,Unknown    ,Steady        ,           ,                                        , ,  151.3833,  -29.2333                                                                                                                                                                                                                   
     54147,         0,WALLANGRA (MACINTYRE)         ,05-12-2010 12:30:00,     1.372,L,Unknown    ,Steady        ,           ,                                        , ,     150.9,  -29.2667                                                                                                                                                                                                                   
     54155,         0,BONSHAW (DUMARESQ R)          ,05-12-2010 12:00:00,     3.098,L,Unknown    ,Steady        ,           ,                                        , ,  151.2833,       -29                                                                                                                                                                                                                   
     54156,         0,HOLDFAST                      ,05-12-2010 12:00:00,     1.066,L,Unknown    ,Steady        ,           ,                                        , ,  150.7333,     -28.8                                                                                                                                                                                                                   
     56158,         0,ROSENEATH                     ,05-12-2010 12:00:00,      .987,L,Below Minor,Steady        ,           ,                                        , ,    151.45,  -29.1333                                                                                                                                                                                                                   
    527003,         0,TELEGRAPH CROSSING TM         ,05-12-2010 08:00:00,     3.447,L,Unknown    ,Steady        ,           ,                                        , ,  142.9192,  -13.4192                                                                                                                                                                                                                   
    527006,         0,MORETON TM                    ,05-12-2010 10:00:00,     2.825,L,Unknown    ,Steady        ,           ,                                        , ,  142.6389,  -12.4539                                                                                                                                                                                                                   
    527007,         0,MONUMENT TM                   ,05-12-2010 08:00:00,     2.633,L,Unknown    ,Steady        ,           ,                                        , ,  142.3517,  -11.1514                                                                                                                                                                                                                   
    527008,         0,COEN RACECOURSE TM            ,05-12-2010 08:00:00,     1.683,L,Unknown    ,Steady        ,           ,                                        , ,   143.175,   -13.955                                                                                                                                                                                                                   
    527009,         0,PASCOE RIVER TM               ,05-12-2010 08:00:00,     1.603,L,Unknown    ,Steady        ,           ,                                        , ,  142.9842,  -12.8794                                                                                                                                                                                                                   
    527011,         0,GARRAWAY CK TM                ,05-12-2010 08:00:00,     2.054,L,Unknown    ,Steady        ,           ,                                        , ,  143.0478,  -12.6608                                                                                                                                                                                                                   
    527012,         0,DULHUNTY TM                   ,05-12-2010 08:00:00,      .973,L,Unknown    ,Steady        ,           ,                                        , ,  142.4197,  -11.8339                                                                                                                                                                                                                   
    528001,         0,GAMBOOLA TM                   ,05-12-2010 08:00:00,     3.039,L,Unknown    ,Steady        ,           ,                                        , ,  143.6769,  -16.5347                                                                                                                                                                                                                   
    528002,         0,BATTLE CAMP TM                ,05-12-2010 08:00:00,     2.435,L,Unknown    ,Steady        ,           ,                                        , ,  144.8378,  -15.2822                                                                                                                                                                                                                   
    528003,         0,TRIMBLES CROSSING TM          ,05-12-2010 08:00:00,       2.5,L,Unknown    ,Falling       ,           ,                                        , ,  143.7828,  -16.5469                                                                                                                                                                                                                   
    528004,         0,LAURA RIVER TM                ,05-12-2010 06:00:00,     2.158,L,Unknown    ,Steady        ,           ,                                        , ,  144.4844,  -15.6133                                                                                                                                                                                                                   
    528005,         0,KALPOWER CROSSING TM          ,05-12-2010 08:00:00,     1.964,L,Unknown    ,Falling       ,        1.9,Kalpower Crossing                       ,C,    144.21,  -14.9186                                                                                                                                                                                                                   
    528006,         0,OK BRIDGE TM                  ,05-12-2010 08:00:00,     3.241,L,Unknown    ,Steady        ,           ,                                        , ,  144.2894,  -16.4708                                                                                                                                                                                                                   
    528007,         0,STEWART RIVER TM              ,05-12-2010 08:00:00,     1.488,L,Unknown    ,Falling       ,           ,                                        , ,  143.3942,  -14.1675                                                                                                                                                                                                                   
    528008,         0,HANN RIVER TM                 ,05-12-2010 08:00:00,     1.484,L,Unknown    ,Falling       ,           ,                                        , ,  143.8456,  -15.2267                                                                                                                                                                                                                   
    528009,         0,ROOKWOOD TM                   ,04-12-2010 20:00:00,       3.9,L,Unknown    ,Falling       ,           ,                                        , ,  144.2861,  -16.9822                                                                                                                                                                                                                   
    529003,         0,KARUMBA TIDE TM               ,05-12-2010 12:10:00,     1.763,L,Unknown    ,Rising        ,           ,                                        , ,  140.8347,  -17.4883                                                                                                                                                                                                                   
    529006,         0,JULIA CREEK TM                ,05-12-2010 11:00:00,       .07,L,Below Minor,Steady        ,           ,                                        , ,  141.7667,  -20.6667                                                                                                                                                                                                                   
    529007,         0,WALKERS BEND TM               ,05-12-2010 08:00:00,      .167,L,Below Minor,Steady        ,        5.4,Flinders River Bridge                   ,B,    140.85,  -18.1667                                                                                                                                                                                                                   
    529008,         0,THE 16M WATERHOLE TM          ,05-12-2010 08:00:00,      .173,L,Below Minor,Steady        ,           ,                                        , ,  139.3586,  -18.8778                                                                                                                                                                                                                   
    529009,         0,GREGORY DOWNS TM              ,05-12-2010 08:00:00,        .8,L,Below Minor,Steady        ,        9.3,New Gregory Road Bridge                 ,B,  139.2525,  -18.6422                                                                                                                                                                                                                   
    529011,         0,CLONCURRY TM                  ,05-12-2010 11:00:00,      .482,L,Below Minor,Steady        ,       10.5,Ernest Henry Bridge                     ,B,    140.49,  -20.7039                                                                                                                                                                                                                   
    529012,         0,GLENORE WEIR TM               ,05-12-2010 11:00:00,     4.488,L,Below Minor,Steady        ,       9.64,Norman River Bridge                     ,B,  141.1286,    -17.86                                                                                                                                                                                                                   
    529013,         0,GUNPOWDER TM                  ,05-12-2010 08:00:00,      .264,L,Below Minor,Steady        ,           ,                                        , ,  139.3572,  -19.6903                                                                                                                                                                                                                   
    529014,         0,DOUGHBOY CK TM                ,05-12-2010 08:00:00,      .086,L,Below Minor,Steady        ,           ,                                        , ,  139.7411,  -20.3133                                                                                                                                                                                                                   
    529015,         0,DUGALD RIVER TM               ,05-12-2010 08:00:00,       .58,L,Unknown    ,Steady        ,           ,                                        , ,  140.2236,  -20.2017                                                                                                                                                                                                                   
    529017,         0,CANOBIE TM                    ,05-12-2010 08:00:00,      .135,L,Unknown    ,Steady        ,           ,                                        , ,    140.96,  -19.4769                                                                                                                                                                                                                   
    529019,         0,JULIUS DAM TM                 ,05-12-2010 06:00:00,    -1.715,L,Unknown    ,Steady        ,          0,Heights above Spillway                  ,S,  139.7231,  -20.1322                                                                                                                                                                                                                   
    529020,         0,MORNINGTON ISLAND TIDE TM     ,05-12-2010 12:10:00,     2.269,L,Unknown    ,Rising        ,           ,                                        , ,  139.1708,  -16.6678                                                                                                                                                                                                                   
    529021,         0,MIRANDA CREEK TM              ,05-12-2010 08:00:00,      .933,L,Unknown    ,Steady        ,           ,                                        , ,  139.9333,  -20.0667                                                                                                                                                                                                                   
    529022,         0,LANDSBOROUGH HWY TM           ,05-12-2010 08:00:00,        .2,L,Unknown    ,Steady        ,           ,                                        , ,  140.8322,  -20.8728                                                                                                                                                                                                                   
    529023,         0,DORUNDA TM                    ,05-12-2010 08:00:00,     1.367,L,Unknown    ,Steady        ,           ,                                        , ,  142.0597,  -16.5317                                                                                                                                                                                                                   
    529024,         0,KOOLATAH TM                   ,05-12-2010 08:00:00,     5.437,L,Unknown    ,Falling       ,           ,                                        , ,  142.3772,  -15.9508                                                                                                                                                                                                                   
    530003,         0,PENTLAND TM                   ,05-12-2010 11:00:00,     1.761,L,Below Minor,Steady        ,           ,                                        , ,  145.4667,  -20.4833                                                                                                                                                                                                                   
    530006,         0,GLENDOWER TM                  ,05-12-2010 08:20:00,     2.228,L,Below Minor,Falling       ,           ,                                        , ,  144.5247,  -20.7133                                                                                                                                                                                                                   
    530008,         0,MT SURPRISE TM                ,05-12-2010 11:00:00,     1.719,L,Unknown    ,Steady        ,           ,                                        , ,     144.3,  -18.1333                                                                                                                                                                                                                   
    530009,         0,RICHMOND TM                   ,05-12-2010 11:00:00,     1.174,L,Below Minor,Steady        ,       6.38,Flinders R.(Richmond-Croydon Rd)        ,B,  143.1333,     -20.7                                                                                                                                                                                                                   
    530010,         0,ROSEGLEN TM                   ,05-12-2010 11:00:00,      1.51,L,Unknown    ,Steady        ,           ,                                        , ,  143.5789,  -18.3067                                                                                                                                                                                                                   
    530011,         0,ROUTH RIVER TM                ,05-12-2010 11:00:00,       .91,L,Unknown    ,Steady        ,           ,                                        , ,  143.7019,  -18.2889                                                                                                                                                                                                                   
    530012,         0,MT EMU PLAINS TM              ,05-12-2010 10:00:00,     1.698,L,Unknown    ,Steady        ,           ,                                        , ,  144.5231,  -20.1775                                                                                                                                                                                                                   
    530013,         0,KIDSTON DAM TW TM             ,05-12-2010 08:00:00,     1.683,L,Unknown    ,Steady        ,           ,                                        , ,  144.1178,  -19.0292                                                                                                                                                                                                                   
    530014,         0,KIDSTON DAM HW TM             ,05-12-2010 08:00:00,    36.004,L,Unknown    ,Steady        ,         36,Spillway                                ,S,  144.1217,  -19.0361                                                                                                                                                                                                                   
    530015,         0,SPANNER WATERHOLE TM          ,05-12-2010 08:00:00,     1.826,L,Unknown    ,Steady        ,           ,                                        , ,  144.1683,   -19.085                                                                                                                                                                                                                   
    530017,         0,BLUFF DOWNS TM                ,05-12-2010 08:20:00,      .627,L,Unknown    ,Falling       ,           ,                                        , ,  145.5403,  -19.6819                                                                                                                                                                                                                   
    531013,         0,COOKTOWN TIDE TM              ,05-12-2010 12:10:00,     1.825,L,Unknown    ,Falling       ,           ,                                        , ,  145.2486,  -15.4608                                                                                                                                                                                                                   
    531014,         0,MOSSMAN TIDE TM               ,05-12-2010 12:10:00,     1.858,L,Unknown    ,Falling       ,           ,                                        , ,  145.4031,  -16.4358                                                                                                                                                                                                                   
    531015,         0,SILVER VALLEY TM              ,05-12-2010 11:00:00,     2.173,L,Below Minor,Steady        ,           ,                                        , ,     145.3,  -17.6333                                                                                                                                                                                                                   
